card_id;disp_id;type;issued
1005;9285;classic;931107
104;588;classic;940119
747;4915;classic;940205
70;439;classic;940208
577;3687;classic;940215
377;2429;classic;940303
721;4680;junior;940405
437;2762;classic;940601
188;1146;classic;940619
13;87;classic;940629
732;4763;classic;940721
181;1066;classic;940819
384;2475;junior;940915
309;1946;classic;940919
478;3084;classic;941009
563;3589;classic;941021
369;2363;classic;941108
376;2428;classic;941110
483;3115;classic;941124
174;1039;junior;941204
658;4251;classic;941225
763;5138;junior;941230
778;5275;classic;950102
1039;9837;classic;950107
477;3082;junior;950116
168;1018;classic;950124
314;1999;junior;950127
468;3023;classic;950130
208;1246;gold;950208
766;5200;classic;950211
464;2984;classic;950221
497;3184;classic;950303
166;999;classic;950305
15;114;classic;950305
503;3225;classic;950308
1038;9787;junior;950330
737;4791;classic;950413
418;2623;classic;950414
759;5117;junior;950418
223;1353;classic;950418
5;51;junior;950424
159;946;classic;950501
1223;13231;junior;950502
662;4293;classic;950509
779;5323;junior;950521
1040;9890;junior;950528
545;3458;classic;950530
467;3019;classic;950605
1247;13660;classic;950613
652;4211;classic;950616
559;3573;classic;950617
719;4663;classic;950624
397;2513;classic;950624
107;593;classic;950627
661;4270;classic;950703
484;3116;classic;950704
501;3197;classic;950709
422;2650;junior;950711
705;4555;classic;950712
410;2569;classic;950720
136;778;classic;950728
592;3782;junior;950807
262;1647;junior;950824
18;128;classic;950825
3;41;gold;950903
98;537;classic;950906
167;1011;classic;950915
97;531;junior;950919
699;4532;classic;950926
342;2157;classic;950927
713;4627;classic;950930
118;652;classic;951022
783;5433;junior;951024
1103;11189;classic;951104
504;3230;junior;951106
261;1629;gold;951109
296;1876;gold;951113
113;629;junior;951116
92;508;classic;951120
1225;13268;classic;951122
393;2498;junior;951203
695;4507;classic;951215
666;4328;junior;951225
462;2978;classic;951230
85;489;classic;951231
337;2141;classic;960101
771;5233;classic;960108
379;2431;classic;960112
106;592;classic;960114
606;3883;classic;960122
427;2688;gold;960125
202;1228;classic;960204
814;5911;classic;960215
1064;10328;classic;960217
14;112;classic;960217
423;2657;classic;960219
989;9119;classic;960221
364;2329;classic;960229
267;1691;junior;960309
621;3970;junior;960319
1139;11836;junior;960326
725;4715;junior;960330
150;859;classic;960330
302;1900;classic;960331
372;2395;classic;960331
499;3187;classic;960403
229;1384;classic;960405
289;1831;junior;960408
1100;11101;junior;960410
37;238;classic;960420
286;1812;gold;960421
157;907;classic;960424
216;1310;junior;960424
977;8968;classic;960508
183;1080;classic;960508
945;8342;junior;960509
44;268;junior;960517
600;3829;classic;960520
127;714;classic;960523
764;5159;classic;960529
204;1239;junior;960530
1134;11742;classic;960531
312;1971;classic;960608
313;1980;classic;960617
641;4116;classic;960618
731;4751;classic;960623
84;487;classic;960626
265;1680;classic;960628
1176;12502;gold;960703
1233;13382;classic;960706
407;2555;classic;960711
320;2045;classic;960711
1187;12635;gold;960717
121;666;junior;960722
1055;10171;classic;960724
303;1912;classic;960801
651;4201;junior;960802
736;4789;classic;960803
24;153;junior;960805
587;3763;junior;960805
119;655;classic;960808
670;4343;classic;960808
227;1380;classic;960810
1164;12269;classic;960812
1043;9974;junior;960814
278;1779;classic;960815
103;584;junior;960817
673;4353;junior;960831
38;242;classic;960831
470;3036;classic;960902
890;7422;classic;960908
514;3267;classic;960910
741;4832;classic;960911
882;7195;classic;960911
12;83;junior;960911
152;876;classic;960916
163;984;classic;960918
708;4568;junior;960924
1087;10887;classic;961006
854;6753;classic;961007
601;3830;classic;961008
99;548;gold;961009
547;3477;classic;961011
40;255;classic;961013
220;1333;classic;961013
390;2490;classic;961014
776;5263;classic;961019
197;1202;junior;961021
516;3279;classic;961025
381;2440;classic;961027
1010;9413;classic;961027
813;5873;junior;961028
272;1754;junior;961028
772;5243;classic;961030
528;3356;classic;961031
1014;9452;classic;961102
87;493;classic;961102
88;496;classic;961104
441;2785;classic;961105
562;3583;classic;961107
690;4479;classic;961107
374;2423;classic;961108
57;347;classic;961109
722;4684;classic;961114
300;1890;classic;961120
117;649;junior;961123
541;3427;junior;961126
294;1861;classic;961204
10;77;classic;961207
710;4588;junior;961210
408;2560;classic;961210
363;2324;junior;961211
697;4518;classic;961211
433;2724;classic;961212
642;4137;classic;961213
243;1478;classic;961213
162;967;junior;961223
594;3794;junior;961227
609;3893;classic;961229
1111;11288;classic;961231
786;5478;classic;961231
1118;11393;classic;970102
175;1040;classic;970103
565;3601;gold;970106
714;4638;classic;970109
137;786;junior;970110
22;138;classic;970111
325;2102;classic;970112
194;1182;classic;970113
668;4340;classic;970114
706;4559;gold;970116
850;6644;classic;970116
298;1885;classic;970117
105;590;classic;970117
1036;9735;classic;970117
292;1842;gold;970118
112;626;junior;970119
678;4405;gold;970120
1093;11011;classic;970120
681;4426;classic;970122
582;3733;classic;970122
729;4740;junior;970122
54;334;classic;970124
258;1607;classic;970126
534;3387;classic;970129
667;4333;classic;970131
195;1194;classic;970203
199;1213;classic;970207
490;3136;gold;970207
347;2184;classic;970211
210;1253;classic;970216
293;1850;classic;970217
189;1157;classic;970219
324;2074;classic;970219
578;3689;junior;970221
266;1690;classic;970304
568;3615;classic;970305
171;1027;classic;970305
679;4416;classic;970306
841;6468;classic;970306
513;3260;classic;970315
647;4171;junior;970321
665;4318;classic;970324
400;2529;classic;970406
617;3944;gold;970409
709;4587;junior;970411
387;2481;classic;970418
226;1378;classic;970418
350;2226;classic;970420
539;3415;classic;970423
583;3735;classic;970424
576;3671;classic;970430
232;1396;classic;970501
730;4749;classic;970502
616;3943;classic;970505
564;3590;classic;970506
82;474;classic;970507
1173;12442;classic;970508
426;2686;classic;970509
791;5521;classic;970512
572;3636;junior;970516
375;2425;junior;970517
69;438;classic;970517
607;3885;classic;970517
155;900;junior;970517
275;1762;classic;970520
847;6610;classic;970520
399;2527;classic;970522
305;1914;classic;970523
430;2713;classic;970526
349;2214;classic;970526
256;1583;classic;970526
50;309;classic;970528
939;8217;junior;970529
110;608;classic;970531
184;1089;gold;970603
90;503;classic;970604
597;3813;junior;970606
471;3037;classic;970609
494;3173;classic;970610
211;1271;classic;970610
353;2259;classic;970611
213;1289;gold;970611
1009;9409;gold;970614
297;1883;classic;970615
801;5684;classic;970615
748;4923;classic;970616
133;742;classic;970616
316;2013;classic;970617
145;819;classic;970617
270;1736;junior;970617
1178;12542;classic;970619
222;1345;classic;970619
241;1461;classic;970620
280;1793;classic;970622
675;4376;classic;970623
108;597;classic;970625
1196;12805;classic;970627
287;1819;junior;970628
443;2808;classic;970629
1138;11825;classic;970629
733;4764;junior;970630
311;1954;classic;970701
120;662;classic;970703
122;667;junior;970703
476;3079;classic;970706
781;5366;classic;970707
588;3765;classic;970708
403;2538;junior;970712
139;797;classic;970714
553;3522;classic;970714
625;3987;classic;970717
413;2592;junior;970720
591;3779;classic;970723
694;4504;classic;970724
512;3259;classic;970724
1095;11023;gold;970728
1059;10235;classic;970729
75;457;classic;970729
383;2469;classic;970730
115;638;classic;970730
884;7286;gold;970731
454;2921;classic;970801
688;4472;classic;970801
936;8030;classic;970802
663;4295;classic;970806
637;4094;junior;970806
511;3257;junior;970806
1220;13160;classic;970808
628;4007;classic;970811
718;4660;classic;970812
238;1452;gold;970817
546;3465;gold;970819
660;4265;junior;970819
491;3151;classic;970821
140;798;classic;970822
502;3201;classic;970822
598;3821;classic;970823
355;2267;classic;970828
43;267;classic;970829
610;3894;classic;970829
182;1067;gold;970831
41;256;classic;970831
91;504;junior;970901
252;1529;classic;970902
495;3181;classic;970902
259;1610;classic;970905
187;1140;classic;970907
185;1098;classic;970907
1025;9625;classic;970908
19;130;classic;970909
431;2715;gold;970912
356;2268;classic;970913
767;5204;classic;970914
537;3405;classic;970915
703;4546;classic;970917
671;4345;classic;970917
896;7567;classic;970918
343;2164;classic;970921
279;1791;classic;970921
622;3981;junior;970922
612;3906;classic;970922
206;1243;classic;970922
190;1165;classic;970923
1203;12893;classic;970926
234;1424;classic;970929
30;202;classic;971001
327;2117;classic;971003
49;305;classic;971003
1115;11375;junior;971003
698;4522;gold;971007
874;7127;gold;971007
247;1500;junior;971008
656;4235;classic;971008
436;2759;classic;971009
124;688;classic;971010
633;4078;classic;971012
428;2698;classic;971013
638;4100;gold;971014
153;886;gold;971019
596;3811;classic;971019
664;4316;classic;971022
251;1525;classic;971023
552;3519;classic;971025
9;76;classic;971025
11;79;gold;971025
650;4194;classic;971026
59;365;classic;971027
1016;9525;classic;971028
359;2299;classic;971029
438;2768;classic;971030
94;513;classic;971106
1056;10220;classic;971106
273;1758;classic;971107
947;8366;classic;971108
93;510;classic;971109
762;5132;classic;971110
254;1578;classic;971111
611;3896;classic;971113
648;4188;classic;971118
373;2401;classic;971118
579;3699;classic;971118
555;3544;classic;971119
329;2122;gold;971119
707;4560;classic;971121
51;321;classic;971121
382;2445;gold;971122
472;3056;classic;971124
237;1445;classic;971125
1234;13386;classic;971128
86;490;classic;971128
540;3425;classic;971129
493;3167;classic;971130
532;3382;classic;971130
590;3769;classic;971202
942;8295;classic;971202
33;221;junior;971203
739;4821;classic;971203
45;272;classic;971205
25;158;classic;971206
200;1220;gold;971209
268;1707;gold;971211
507;3245;classic;971211
569;3616;classic;971212
282;1799;gold;971213
536;3404;classic;971213
1022;9606;classic;971213
1105;11237;classic;971213
326;2104;classic;971214
380;2434;classic;971215
723;4699;classic;971215
81;473;classic;971217
521;3310;classic;971217
608;3890;classic;971217
589;3766;junior;971220
281;1795;classic;971222
891;7434;classic;971223
774;5249;classic;971225
566;3606;classic;971225
575;3667;gold;971225
154;887;classic;971228
130;722;classic;971229
434;2739;classic;971230
83;483;classic;980105
593;3787;junior;980106
481;3102;junior;980106
304;1913;classic;980106
149;858;classic;980107
659;4258;classic;980108
517;3291;classic;980109
368;2361;classic;980110
482;3104;junior;980113
689;4473;classic;980115
557;3567;classic;980117
897;7576;classic;980118
803;5727;classic;980119
401;2532;classic;980119
760;5126;classic;980119
274;1759;classic;980121
28;174;junior;980122
904;7672;classic;980122
474;3066;junior;980124
214;1292;classic;980124
55;335;classic;980125
340;2155;classic;980125
724;4701;gold;980127
67;429;junior;980128
236;1440;junior;980129
68;434;classic;980131
348;2203;classic;980202
65;414;classic;980202
1239;13442;junior;980202
165;996;junior;980204
249;1517;classic;980206
246;1492;classic;980208
720;4674;junior;980209
518;3292;gold;980210
459;2958;gold;980211
655;4231;classic;980213
624;3985;junior;980213
398;2522;classic;980214
796;5579;classic;980220
100;562;gold;980221
574;3640;junior;980223
360;2308;classic;980224
391;2493;classic;980224
283;1800;classic;980225
726;4721;classic;980226
132;731;junior;980226
463;2982;classic;980226
21;132;classic;980226
529;3357;classic;980227
946;8359;junior;980228
419;2626;classic;980228
248;1512;classic;980301
215;1296;classic;980302
225;1359;classic;980303
643;4157;classic;980304
844;6567;junior;980304
672;4349;classic;980307
276;1765;classic;980307
1230;13312;classic;980308
599;3824;gold;980308
72;447;classic;980309
1199;12826;classic;980309
48;295;classic;980310
58;358;classic;980311
334;2133;classic;980313
2;19;classic;980313
228;1382;junior;980315
244;1480;classic;980316
1189;12683;classic;980317
198;1211;junior;980318
34;225;classic;980320
535;3395;classic;980322
269;1718;gold;980322
515;3268;classic;980323
290;1833;classic;980324
315;2005;junior;980324
784;5461;classic;980324
63;378;junior;980327
417;2619;classic;980330
619;3958;classic;980401
191;1168;junior;980402
965;8636;classic;980402
444;2815;gold;980403
370;2374;classic;980403
156;906;junior;980407
492;3166;classic;980409
52;326;gold;980410
71;441;classic;980411
775;5253;gold;980411
330;2124;classic;980411
510;3256;classic;980413
170;1020;classic;980416
338;2146;classic;980416
755;5002;classic;980416
451;2888;junior;980416
263;1668;gold;980417
602;3846;junior;980418
498;3186;classic;980418
933;7959;junior;980421
89;497;classic;980422
761;5128;gold;980423
176;1049;classic;980425
1102;11183;classic;980425
109;605;classic;980426
421;2644;classic;980427
918;7796;classic;980427
680;4417;classic;980429
824;6196;classic;980429
448;2864;classic;980429
1194;12781;junior;980430
331;2125;gold;980501
734;4765;classic;980501
235;1438;classic;980502
284;1807;classic;980507
412;2585;classic;980509
64;402;classic;980510
186;1133;gold;980512
458;2951;gold;980514
465;2995;classic;980515
457;2948;junior;980516
456;2929;classic;980516
645;4166;classic;980517
906;7683;gold;980518
756;5012;classic;980518
218;1322;classic;980518
717;4654;classic;980519
8;60;junior;980520
700;4533;junior;980522
757;5013;junior;980522
126;707;classic;980523
358;2287;junior;980523
639;4112;classic;980523
212;1280;classic;980524
415;2609;classic;980525
161;963;classic;980525
207;1244;classic;980525
1216;13097;classic;980526
649;4190;classic;980529
475;3075;gold;980531
586;3756;classic;980531
446;2841;classic;980604
823;6178;classic;980605
644;4165;classic;980605
111;615;classic;980605
469;3026;classic;980607
17;127;classic;980607
558;3568;classic;980607
192;1169;classic;980608
631;4061;junior;980609
317;2015;classic;980610
716;4651;junior;980611
7;56;classic;980611
863;6906;classic;980612
123;679;classic;980612
770;5232;classic;980615
143;816;classic;980615
785;5468;classic;980616
646;4167;classic;980617
160;954;classic;980617
669;4341;classic;980619
101;566;classic;980619
332;2126;classic;980619
362;2320;gold;980621
173;1031;classic;980621
16;116;classic;980623
365;2332;classic;980623
701;4534;classic;980624
80;471;classic;980625
831;6275;classic;980629
354;2265;gold;980630
250;1522;classic;980630
142;810;classic;980701
991;9149;junior;980701
1192;12736;classic;980702
738;4808;junior;980702
627;3994;classic;980705
696;4516;classic;980705
260;1616;classic;980705
768;5223;classic;980706
233;1418;classic;980707
450;2880;classic;980707
440;2782;classic;980707
301;1899;classic;980707
485;3124;classic;980708
567;3611;classic;980708
66;425;classic;980708
1002;9261;classic;980709
453;2911;gold;980712
277;1777;gold;980712
571;3627;junior;980713
687;4471;classic;980714
640;4115;classic;980714
39;254;classic;980714
435;2740;classic;980715
411;2572;classic;980715
548;3501;classic;980716
1167;12335;classic;980718
727;4723;classic;980719
603;3850;classic;980720
496;3183;junior;980721
73;451;junior;980721
146;822;classic;980723
439;2779;classic;980723
613;3913;classic;980723
323;2065;junior;980724
623;3984;classic;980725
530;3360;classic;980725
396;2508;classic;980726
1076;10604;gold;980727
344;2168;classic;980727
525;3337;classic;980727
42;264;junior;980728
740;4823;junior;980728
